,politician_name,politician_username,gender,party,tweet_text,tweet_retweet_count,tweet_favorite_count,Joy,IBM_text,Analytical,Sadness,Confident,Fear,Anger,Tentative
22,Sen. Lisa Murkowski,lisamurkowski,W,D,Village built clinics play a vital role when it comes to the health and safety of many Alaskans-- I'm proud to annou------ https://t--co/1imRfOZYMr,10,38,0.734501,Village built clinics play a vital role when it comes to the health and safety of many Alaskans-- I'm proud to annou------ https://t--co/1imRfOZYMr.,,,,,,
23,Sen. Lisa Murkowski,lisamurkowski,W,D,"The Interior, Environment, &amp; Related Agencies Appropriations bill, contained in the recently passed government fund------ https://t--co/41o7xhqn6r",9,11,,"The Interior, Environment, &amp; Related Agencies Appropriations bill, contained in the recently passed government fund------ https://t--co/41o7xhqn6r.",0.532616,,,,,
24,Sen. Lisa Murkowski,lisamurkowski,W,D,"Through the Consolidated Appropriations Act that was just signed into law, we provide resources to empower Alaska N------ https://t--co/8DzYSXDdta",3,6,,,,,,,,
25,Sen. Lisa Murkowski,lisamurkowski,W,D,I am truly honored to be the recipient of the President's Legacy and Leadership Award from the @ANTHCtoday for my c------ https://t--co/ww1okeCEDW,10,30,0.81373,I am truly honored to be the recipient of the President's Legacy and Leadership Award from the @ANTHCtoday for my c------ https://t--co/ww1okeCEDW.,,,0.598602,,,
26,Sen. Lisa Murkowski,lisamurkowski,W,D,"Seward's 'folly' turned out to be one of the greatest, and cheapest land deals in history-- Happy Seward's Day Alask------ https://t--co/Ra6wYW6WVB",32,123,0.890689,"Seward's 'folly' turned out to be one of the greatest, and cheapest land deals in history-- Happy Seward's Day Alask------ https://t--co/Ra6wYW6WVB.",0.635961,,,,,
27,Sen. Lisa Murkowski,lisamurkowski,W,D,Opioid &amp; alcohol abuse are devastating communities in AK &amp; across the U--S-- The recently passed funding bill for FY1------ https://t--co/E7YMIwUCjL,10,24,,,,,,,,
28,Sen. Lisa Murkowski,lisamurkowski,W,D,"This appropriations bill includes the largest year-to-year increase in funding for our military in 15 years, and co------ https://t--co/7KLptUTILu",7,14,,,,,,,,
29,Sen. Lisa Murkowski,lisamurkowski,W,D,"The Senate recently passed the full 2018 appropriations bill, which funds the government through September-- As a me------ https://t--co/GfTJMxZOEr",5,27,,,,,,,,
30,Sen. Lisa Murkowski,lisamurkowski,W,D,"Climate change is impacting Alaskans, and to address this rapidly evolving issue, $15 million in additional funds w------ https://t--co/5IFXYNqZQh",41,105,,,,,,,,
31,Sen. Lisa Murkowski,lisamurkowski,W,D,"One of the most enjoyable aspects of my job is interacting with young Alaskans, to give them a little taste of what------ https://t--co/65trPtcv82",9,32,,,,,,,,
32,Sen. Lisa Murkowski,lisamurkowski,W,D,"In an Energy &amp; Natural Resources hearing on the western water supply, we examined 3 bills re water infrastructure &amp;------ https://t--co/DDGFShrjDO",11,26,,,,,,,,
33,Sen. Lisa Murkowski,lisamurkowski,W,D,I'm proud of the work we have done in this funding bill to empower Alaskans to build our economy and create healthy------ https://t--co/I2kSkFBNI0,5,15,0.915262,I'm proud of the work we have done in this funding bill to empower Alaskans to build our economy and create healthy------ https://t--co/I2kSkFBNI0.,,,,,,
34,Sen. Lisa Murkowski,lisamurkowski,W,D,The Senate passed a bill that sets federal funding levels for the remainder of the fiscal year- providing huge incr------ https://t--co/OPsbloNFtt,9,23,,,,,,,,
35,Sen. Lisa Murkowski,lisamurkowski,W,D,The FY18 government funding before the Senate has big wins for Alaska-- As chairman of the Interior Appropriations S------ https://t--co/1eFjj2wdNx,9,20,,,,,,,,
36,Sen. Lisa Murkowski,lisamurkowski,W,D,"Congrats to Valerie Baalerud of Eagle River High School, who received the Milken Educator of the Year Award, given------ https://t--co/V8KI5OBuWD",12,45,0.783873,"Congrats to Valerie Baalerud of Eagle River High School, who received the Milken Educator of the Year Award, given------ https://t--co/V8KI5OBuWD.",,,,,,
37,Sen. Lisa Murkowski,lisamurkowski,W,D,"Today kids in AK joined thousands of young people across the U--S-- for ""Kick Butts Day--"" Proud to see so many youth------ https://t--co/XfnQ33Mg36",14,56,0.828183,"Today kids in AK joined thousands of young people across the U--S-- for ""Kick Butts Day--"" Proud to see so many youth------ https://t--co/XfnQ33Mg36.",,,,,,
38,Sen. Lisa Murkowski,lisamurkowski,W,D,"We must protect our most vulnerable victims &amp; bring justice to all who are impacted by these crimes-- This evening,------ https://t--co/W4tqiuA8FL",12,41,,"We must protect our most vulnerable victims &amp; bring justice to all who are impacted by these crimes-- This evening,------ https://t--co/W4tqiuA8FL.",,0.632709,0.618451,,,
39,Sen. Lisa Murkowski,lisamurkowski,W,D,"Earlier today, I spoke on the Senate Floor on preventing sex trafficking by attacking the problem at the source and------ https://t--co/0xtJMNESbm",12,53,,"Earlier today, I spoke on the Senate Floor on preventing sex trafficking by attacking the problem at the source and------ https://t--co/0xtJMNESbm.",,,,0.536692,,
40,Sen. Lisa Murkowski,lisamurkowski,W,D,"This legislation will cut costs and stabilize the individual market for not only those in Alaska, but across the na------ https://t--co/AXY1XFhDSL",4,24,,"This legislation will cut costs and stabilize the individual market for not only those in Alaska, but across the na------ https://t--co/AXY1XFhDSL.",0.828638,,,,,
41,Sen. Lisa Murkowski,lisamurkowski,W,D,"I'm proud to be a part of a bipartisan, bicameral legislative effort that addresses the rising cost of health insur------ https://t--co/JbafapbeEA",11,52,0.903342,"I'm proud to be a part of a bipartisan, bicameral legislative effort that addresses the rising cost of health insur------ https://t--co/JbafapbeEA.",,,,,,
42,Sen. Lisa Murkowski,lisamurkowski,W,D,"#NationalAgDay is an chance to recognize the role that agriculture plays in providing jobs, food, &amp; fuel for our ec------ https://t--co/qp50Wm8UFb",18,40,,"#NationalAgDay is an chance to recognize the role that agriculture plays in providing jobs, food, &amp; fuel for our ec------ https://t--co/qp50Wm8UFb.",0.506763,,,,,
43,Sen. Lisa Murkowski,lisamurkowski,W,D,"Today I chaired an Energy Committee hearing, where @SecretaryPerry presented the President's FY19 budget request fo------ https://t--co/9i5McEjEbv",23,53,0.509668,"Today I chaired an Energy Committee hearing, where @SecretaryPerry presented the President's FY19 budget request fo------ https://t--co/9i5McEjEbv.",,,,,,
44,Sen. Lisa Murkowski,lisamurkowski,W,D,The North Slope Borough is planning to build new snow roads to connect some of our Arctic communities to the Alaska------ https://t--co/rKBvIWtJ4s,16,50,0.559375,The North Slope Borough is planning to build new snow roads to connect some of our Arctic communities to the Alaska------ https://t--co/rKBvIWtJ4s.,0.597565,,,,,
45,Sen. Lisa Murkowski,lisamurkowski,W,D,"Had the honor of recognizing a long-time member of my staff, Chuck Kleeschulte, on his retirement from the U--S-- Sen------ https://t--co/L7pQtHoOd1",13,34,,,,,,,,
46,Sen. Lisa Murkowski,lisamurkowski,W,D,Such a heartwarming story about School Resource Officer Blain Hatch being honored by young Alaskans and the differe------ https://t--co/mMJvjVGMxk,10,46,0.641927,Such a heartwarming story about School Resource Officer Blain Hatch being honored by young Alaskans and the differe------ https://t--co/mMJvjVGMxk.,,,,,,
47,Sen. Lisa Murkowski,lisamurkowski,W,D,"Alaskan high school juniors, if you're interested in playing an active role in the government, check out my Senate------ https://t--co/MXIrUDe4CU",26,78,,,,,,,,
48,Sen. Lisa Murkowski,lisamurkowski,W,D,"As a former Girl Scout, I know first-hand what an important role this organization plays in the development of youn------ https://t--co/BrLdpYQRu9",15,98,,,,,,,,
49,Sen. Lisa Murkowski,lisamurkowski,W,D,This week during a @PNWER roundtable I spoke to the role of subnational governments in the North American Arctic in------ https://t--co/l2CeEVvYnj,8,13,,,,,,,,
50,Sen. Lisa Murkowski,lisamurkowski,W,D,"This week, I spoke at the @ACORE 15th Annual Renewable Energy Policy Forum to discuss how renewables are creating o------ https://t--co/umgrW1y5oi",13,21,,,,,,,,
51,Sen. Lisa Murkowski,lisamurkowski,W,D,"Today is the last day to sign up for my summer intern program in D--C-- You don't have to want a future in policy, yo------ https://t--co/Ilnzk2CnMA",12,33,,"Today is the last day to sign up for my summer intern program in D--C-- You don't have to want a future in policy, yo------ https://t--co/Ilnzk2CnMA.",,0.58752,,,,
52,Sen. Lisa Murkowski,lisamurkowski,W,D,It was so great to meet with you-- Thanks for all you do in the search for a cure for #cysticfibrosis-- https://t--co/bCGf9qshsn,3,18,0.821152,It was so great to meet with you-- Thanks for all you do in the search for a cure for #cysticfibrosis-- https://t--co/bCGf9qshsn.,,,0.598602,,,
53,Sen. Lisa Murkowski,lisamurkowski,W,D,"Today I chaired an Energy Committee hearing, where we heard from Mr-- Ted Garrish and Mr-- James Campos, who have bot------ https://t--co/Vj8mAfrLpK",6,8,,,,,,,,
54,Sen. Lisa Murkowski,lisamurkowski,W,D,An analysis released this week shows that the Alexander-Murray Bipartisan Health Care Stabilization Act &amp; Collins-N------ https://t--co/n9AFTMFteU,9,33,,An analysis released this week shows that the Alexander-Murray Bipartisan Health Care Stabilization Act &amp; Collins-N------ https://t--co/n9AFTMFteU.,0.762356,,,,,
55,Sen. Lisa Murkowski,lisamurkowski,W,D,I've continued to stress the need to pass two bipartisan healthcare measures to stabilize the individual markets wh------ https://t--co/IVOfbfYhUf,12,30,,,,,,,,
56,Sen. Lisa Murkowski,lisamurkowski,W,D,Congratulations to these young Alaskans-- I'll be rooting for you as you compete in April-- https://t--co/aTNFDiCqKj,10,16,0.879638,Congratulations to these young Alaskans-- I'll be rooting for you as you compete in April-- https://t--co/aTNFDiCqKj.,,,,,,
57,Sen. Lisa Murkowski,lisamurkowski,W,D,"This legislation will bring much-needed relief to numerous community, local &amp; regional financial institutions throu------ https://t--co/syqs3tFcr7",5,5,,,,,,,,
58,Sen. Lisa Murkowski,lisamurkowski,W,D,"This bill protects consumers, veterans and student borrowers as well as gives regulatory relief for community and r------ https://t--co/Edsuf5oMhX",5,7,,,,,,,,
59,Sen. Lisa Murkowski,lisamurkowski,W,D,"W/ strong bipartisan support, the Senate passed Economic Growth, Regulatory Relief, &amp; Consumer Protection Act, legi------ https://t--co/cSp2jBftXZ",7,15,0.545981,"W/ strong bipartisan support, the Senate passed Economic Growth, Regulatory Relief, &amp; Consumer Protection Act, legi------ https://t--co/cSp2jBftXZ.",,,,,,
60,Sen. Lisa Murkowski,lisamurkowski,W,D,"Speaking now on the Senate Floor about the amazing career of recently retired, long-time staff member, Chuck Kleesc------ https://t--co/uYcOWJ9qh4",4,12,,"Speaking now on the Senate floor about one of the toughest races on the Earth, and specifically #Iditarod2018 Champ------ https://t--co/3ndXbprAQM.",,,,,0.511463,
61,Sen. Lisa Murkowski,lisamurkowski,W,D,"Speaking now on the Senate floor about one of the toughest races on the Earth, and specifically #Iditarod2018 Champ------ https://t--co/3ndXbprAQM",4,13,,"Speaking now on the Senate floor about one of the toughest races on the Earth, and specifically #Iditarod2018 Champ------ https://t--co/3ndXbprAQM.",,,,,0.511463,
62,Sen. Lisa Murkowski,lisamurkowski,W,D,Today we held a @IndianCommittee hearing on opioid &amp; alcohol abuse in Native American &amp; Alaska Native communities-------- https://t--co/hRf3AJdyjl,11,34,,,,,,,,
63,Sen. Lisa Murkowski,lisamurkowski,W,D,Yesterday I chaired an Energy Cmte hearing on the President's FY19 budget request of $11--7 billion for the------ https://t--co/facozlxwQB,12,11,,,,,,,,
64,Sen. Lisa Murkowski,lisamurkowski,W,D,A huge congratulations to Joar Leifseth on his victory today-- This thousand mile race takes mushers across rugged t------ https://t--co/mhWKdR0UeS,12,36,0.805928,A huge congratulations to Joar Leifseth on his victory today-- This thousand mile race takes mushers across rugged t------ https://t--co/mhWKdR0UeS.,,,,,,
65,Sen. Lisa Murkowski,lisamurkowski,W,D,Thanks to technology I was able to beam into @TananaChiefs Conference which addressed everything from food security------ https://t--co/l5x5Pn0is6,6,22,,,,,,,,
66,Sen. Lisa Murkowski,lisamurkowski,W,D,"Congratulations to Andrew Kurka of Palmer, Alaska's first athlete to ever medal at the Winter Paralympic Games-- Kur------ https://t--co/k5J29jKK31",9,54,0.767815,"Congratulations to Andrew Kurka of Palmer, Alaska's first athlete to ever medal at the Winter Paralympic Games-- Kur------ https://t--co/k5J29jKK31.",,,,,,
67,Sen. Lisa Murkowski,lisamurkowski,W,D,More positive outcomes as a result of the tax reform legislation we passed in December-- https://t--co/eBZ3MVYTuG,4,10,0.63845,More positive outcomes as a result of the tax reform legislation we passed in December-- https://t--co/eBZ3MVYTuG.,0.931276,,0.775702,,,
68,Sen. Lisa Murkowski,lisamurkowski,W,D,This bill mobilizes our National  Health Service Corps members and partners them with schools &amp; community-based org------ https://t--co/dVKoY0syNu,7,12,,,,,,,,
69,Sen. Lisa Murkowski,lisamurkowski,W,D,Proud to work w/ @SenTinaSmith on a bill to expand access in underserved areas for children who need mental &amp; behav------ https://t--co/pAfwJ0UXzF,8,30,,,,,,,,
70,Sen. Lisa Murkowski,lisamurkowski,W,D,We need to ensure that those who need access to preventative behavioral health services can obtain it when and wher------ https://t--co/2MwCv9WYpV,13,56,,,,,,,,
71,Sen. Lisa Murkowski,lisamurkowski,W,D,RT @EnergyGOP: Sen-- @LisaMurkowski's questions to @SecretaryZinke - https://t--co/vO2eeuxgXu,4,0,,,,,,,,
72,Sen. Lisa Murkowski,lisamurkowski,W,D,"Momentarily, in an Energy and Natural Resources hearing, we'll discuss the administration's FY19 budget request for------ https://t--co/WIZRZqAZIz",12,18,,,,,,,,
73,Sen. Lisa Murkowski,lisamurkowski,W,D,"It's been great keeping track of where the mushers are &amp; their progress on the Iditarod trail-- Even 4,000 miles awa------ https://t--co/XKMGSDCnld",5,33,0.8104,"It's been great keeping track of where the mushers are &amp; their progress on the Iditarod trail-- Even 4,000 miles awa------ https://t--co/XKMGSDCnld.",,,,,,
74,Sen. Lisa Murkowski,lisamurkowski,W,D,"Proud to introduce the Substance Use Disorder Workforce Loan Repayment Act w/ @SenDonnelly &amp; @SenatorHassan, a bipa------ https://t--co/2GEq0jK9mT",13,16,,,,,,,,
75,Sen. Lisa Murkowski,lisamurkowski,W,D,Honored to join w/ hundreds of Alaskans yesterday to remember and celebrate the life of Special Olympics Alaska lea------ https://t--co/QrYeoCBbPg,9,18,0.839144,Honored to join w/ hundreds of Alaskans yesterday to remember and celebrate the life of Special Olympics Alaska lea------ https://t--co/QrYeoCBbPg.,,,,,,
76,Sen. Lisa Murkowski,lisamurkowski,W,D,With Olympic snowboarder Rosie Mancari at the @SpecialOlymAK Winter Games-- https://t--co/K7ruusZUiT,9,35,,,,,,,,
77,Sen. Lisa Murkowski,lisamurkowski,W,D,"I had such a wonderful time w/ athletes @SpecialOlymAK Winter Games, including awarding medals in the alpine skiing------ https://t--co/G70orDeEv1",13,58,0.760886,"I had such a wonderful time w/ athletes @SpecialOlymAK Winter Games, including awarding medals in the alpine skiing------ https://t--co/G70orDeEv1.",,,,,,
78,Sen. Lisa Murkowski,lisamurkowski,W,D,Alaskan students -- I have several internship opportunities this summer in my D--C-- office-- Applications are due thi------ https://t--co/714oX4zq8x,21,38,,,,,,,,
79,Sen. Lisa Murkowski,lisamurkowski,W,D,"Glad to be in Houston for @CERAWeek with @JohnCornyn, and to meet Houston Mayor, @SylvesterTurner-- #CERAWeek https://t--co/ZYD5tQdpht",18,41,0.718669,"Glad to be in Houston for @CERAWeek with @JohnCornyn, and to meet Houston Mayor, @SylvesterTurner-- #CERAWeek https://t--co/ZYD5tQdpht.",,,,,,
80,Sen. Lisa Murkowski,lisamurkowski,W,D,"@JohnCornyn @CERAWeek During our interview we had the opportunity to discuss energy policy, ANWR, tax reform, miner------ https://t--co/oxzhROkeeu",7,5,,,,,,,,
81,Sen. Lisa Murkowski,lisamurkowski,W,D,"I had the chance to give an update on what's happening in D--C--, alongside @JohnCornyn at @CERAWeek -- Special thanks------ https://t--co/wT3zJrCuRf",14,22,,"I had the chance to give an update on what's happening in D--C--, alongside @JohnCornyn at @CERAWeek -- Special thanks------ https://t--co/wT3zJrCuRf.",,,,,,0.525007
82,Sen. Lisa Murkowski,lisamurkowski,W,D,"Nuclear power is an essential part of our nation's electricity supply-- It's clean, safe, efficient, and reliable-- R------ https://t--co/AZtEaA0luM",18,39,,,,,,,,
83,Sen. Lisa Murkowski,lisamurkowski,W,D,"This bipartisan bill will promote public-private partnerships, enabling the development and deployment of advanced------ https://t--co/TrlpiQ9wyW",12,26,,,,,,,,
84,Sen. Lisa Murkowski,lisamurkowski,W,D,"Pleased to see the Nuclear Energy Innovation Capabilities Act, legislation I cosponsored, passed the Senate-- https://t--co/1MQrB5lpiv",14,27,0.689697,"Pleased to see the Nuclear Energy Innovation Capabilities Act, legislation I cosponsored, passed the Senate-- https://t--co/1MQrB5lpiv.",,,,,,
85,Sen. Lisa Murkowski,lisamurkowski,W,D,My statement on the administration's steel and aluminum tariff announcement-- https://t--co/mucA5gPGop,14,53,,My statement on the administration's steel and aluminum tariff announcement-- https://t--co/mucA5gPGop.,0.687768,,,,,
86,Sen. Lisa Murkowski,lisamurkowski,W,D,"In just a few moments, I will be discussing current energy policy and what lies ahead with David Yergin and Sen-------- https://t--co/k7ClSgMNZN",10,9,,,,,,,,
87,Sen. Lisa Murkowski,lisamurkowski,W,D,"I spoke on the Senate floor in honor of Jim Balamaci, President/CEO of @SpecialOlymAK who unexpectedly passed away------ https://t--co/wCFuW0sGe6",9,23,,"I spoke on the Senate floor in honor of Jim Balamaci, President/CEO of @SpecialOlymAK who unexpectedly passed away------ https://t--co/wCFuW0sGe6.",,0.576396,,,,
88,Sen. Lisa Murkowski,lisamurkowski,W,D,RT @AKStateLibrary: House Bill No-- 2 in 1913 gave women the right the vote in Alaska-- It was the first bill passed by the territorial legis------,43,0,,,,,,,,
89,Sen. Lisa Murkowski,lisamurkowski,W,D,In observance of #InternationalWomensDay I hope everyone will take time to recognize and thank our everyday heroes------ https://t--co/tTfJbZspcC,14,34,0.872009,In observance of #InternationalWomensDay I hope everyone will take time to recognize and thank our everyday heroes------ https://t--co/tTfJbZspcC.,,,,,,0.58393
90,Sen. Lisa Murkowski,lisamurkowski,W,D,Honored to have been selected as a 2018 YMCA Congressional Champion for my work to preserve funding for the 21st Ce------ https://t--co/uDgFEXkMke,14,32,0.584227,Honored to have been selected as a 2018 YMCA Congressional Champion for my work to preserve funding for the 21st Ce------ https://t--co/uDgFEXkMke.,,,,,,
91,Sen. Lisa Murkowski,lisamurkowski,W,D,"Had the pleasure of meeting Alaska's U--S-- Senate Youth Program delegates, Brian Conwell of Unalaska &amp; Bianca Eagan------ https://t--co/IbiEybChnK",20,65,0.673892,"Had the pleasure of meeting Alaska's U--S-- Senate Youth Program delegates, Brian Conwell of Unalaska &amp; Bianca Eagan------ https://t--co/IbiEybChnK.",,,,,,
92,Sen. Lisa Murkowski,lisamurkowski,W,D,"Today I spoke at the Consortium for Ocean Leadership's Event to discuss the role of inter-agency partnering, coordi------ https://t--co/28LwU5plEE",9,30,,,,,,,,
93,Sen. Lisa Murkowski,lisamurkowski,W,D,"Because of tax reform, more than 100,000 Alaskans could see lower utility bills-- I'm encouraged by the projected be------ https://t--co/lTUUKR6kbC",11,17,,"Because of tax reform, more than 100,000 Alaskans could see lower utility bills-- I'm encouraged by the projected be------ https://t--co/lTUUKR6kbC.",0.828638,,,,,0.525007
94,Sen. Lisa Murkowski,lisamurkowski,W,D,"Today, I spoke on increasing housing availability for AK Natives and Indian tribes nationwide, to the------ https://t--co/AwvaHWRqLz",6,14,,,,,,,,
95,Sen. Lisa Murkowski,lisamurkowski,W,D,"Today during an Energy and Natural Resources committee hearing, we heard from Dr-- James F-- Reilly who is being cons------ https://t--co/n656zqQQuT",10,20,0.583107,"Today during an Energy and Natural Resources committee hearing, we heard from Dr-- James F-- Reilly who is being cons------ https://t--co/n656zqQQuT.",,,,,,
96,Sen. Lisa Murkowski,lisamurkowski,W,D,"#OnlyInAlaska do we have a footrace with reindeer-- This weekend hundreds, including one of my staff members, took t------ https://t--co/dQDjjawkVr",6,46,,,,,,,,
97,Sen. Lisa Murkowski,lisamurkowski,W,D,The #Iditarod2018 leaderboard is up in my D--C-- office-- I'll be keeping tabs on the top ten mushers and updating the------ https://t--co/ay2UZZx5iV,15,64,,The #Iditarod2018 leaderboard is up in my D--C-- office-- I'll be keeping tabs on the top ten mushers and updating the------ https://t--co/ay2UZZx5iV.,0.670204,,,,,
98,Sen. Lisa Murkowski,lisamurkowski,W,D,"By being proactive, we all can be part of the solution and keep our students and teachers safe-- https://t--co/TVhswFIKCx",5,15,0.501521,"By being proactive, we all can be part of the solution and keep our students and teachers safe-- https://t--co/TVhswFIKCx.",0.747994,,0.660207,,,
99,Sen. Lisa Murkowski,lisamurkowski,W,D,"By equipping individuals with the tools, knowledge &amp; skills needed to identify warning signs, as well as implementi------ https://t--co/UGrnqin7wi",6,12,,"By equipping individuals with the tools, knowledge &amp; skills needed to identify warning signs, as well as implementi------ https://t--co/UGrnqin7wi.",0.899126,,,,,
100,Sen. Lisa Murkowski,lisamurkowski,W,D,"The STOP School Violence Act, which I'm a proud cosponsor, aims to help schools implement evidence-based programs t------ https://t--co/cNot3w54aT",6,22,0.666999,"The STOP School Violence Act, which I'm a proud cosponsor, aims to help schools implement evidence-based programs t------ https://t--co/cNot3w54aT.",,,,,,
101,Sen. Lisa Murkowski,lisamurkowski,W,D,"There is no one, simple fix for addressing acts of violence, but a focus on prevention is an imperative-- We need a------ https://t--co/ihWHHblubU",13,47,,"There is no one, simple fix for addressing acts of violence, but a focus on prevention is an imperative-- We need a------ https://t--co/ihWHHblubU.",0.579367,0.539725,,,,
