,politician_name,politician_username,gender,party,tweet_text,tweet_retweet_count,tweet_favorite_count,Joy,IBM_text,Analytical,Sadness,Confident,Tentative,Fear,Anger
21,Mark Udall,MarkUdall,M,D,#CIA must be held accountable-- That's why I'm fighting for #transparency &amp; to uphold our #Constitution: http://t--co/6Msmf5YaQz,103,78,,,,,,,,
22,Mark Udall,MarkUdall,M,D,"On Nat'l Day of Remembrance, let's honor #CO Cold War patriots &amp; sacrifices our nuclear workers made for our country--",7,6,,"On Nat'l Day of Remembrance, let's honor #CO Cold War patriots &amp; sacrifices our nuclear workers made for our country--.",,0.589415,,,,
23,Mark Udall,MarkUdall,M,D,Enjoyed celebrating #Wilderness50 &amp; beauty of #CO's natural treasures w/ @JohnFielderCO &amp; our fellow Coloradans-- http://t--co/NJeXFlaAkt,17,8,0.887767,"Enjoyed celebrating #Wilderness50 &amp; beauty of #CO's natural treasures w/ @JohnFielderCO &amp; our fellow Coloradans-- http://t--co/NJeXFlaAkt. Falling #CO unemployment -- lowest in 6 years -- a great sign, but I'll keep fighting to strengthen middle class: http://t--co/cxbUVsvguJ.",,,,,,
24,Mark Udall,MarkUdall,M,D,"Falling #CO unemployment -- lowest in 6 years -- a great sign, but I'll keep fighting to strengthen middle class: http://t--co/cxbUVsvguJ",39,19,,,,,,,,
25,Mark Udall,MarkUdall,M,D,New @VailMtn activities show how my #bipartisan ski area #jobs bill supports #MainStreet #CObiz &amp; drive tourism: http://t--co/rEjBg1QmYo,8,5,,,,,,,,
26,Mark Udall,MarkUdall,M,D,"To keep #CO safe, @TSA &amp; @CDCGov must immediately restrict air-travel for all people being monitored for #Ebola: http://t--co/vNRsntqYxL",11,5,0.654228,"To keep #CO safe, @TSA &amp; @CDCGov must immediately restrict air-travel for all people being monitored for #Ebola: http://t--co/vNRsntqYxL. Excited to join w/ #CO sportsmen &amp; others to bring spirit of #BrownsCanyon to Denver &amp; discuss my bill to protect it-- http://t--co/nHYDI7EbT8.",,,,,,
27,Mark Udall,MarkUdall,M,D,Excited to join w/ #CO sportsmen &amp; others to bring spirit of #BrownsCanyon to Denver &amp; discuss my bill to protect it-- http://t--co/nHYDI7EbT8,16,8,,,,,,,,
28,Mark Udall,MarkUdall,M,D,The best team in the league is now also the nation's favorite-- Go @Broncos-- http://t--co/c77DSVIZck #UnitedInOrange,10,11,0.804685,The best team in the league is now also the nation's favorite-- Go @Broncos-- http://t--co/c77DSVIZck #UnitedInOrange.,,,,,,
29,Mark Udall,MarkUdall,M,D,RT @coloradoguides: I spent the 4th of July with @MarkUdall &amp; @VETEXPEDITIONS-- We need more Senator Mountaineers-- http://t--co/NXvrtgpz2E ht------,13,0,,,,,,,,
30,Mark Udall,MarkUdall,M,D,"On Nat'l #ComingOutDay, I'm proud to stand with all of Colorado in supporting our #LGBT family, friends and neighbors--",27,29,0.798278,"On Nat'l #ComingOutDay, I'm proud to stand with all of Colorado in supporting our #LGBT family, friends and neighbors--.",,,0.638987,,,
31,Mark Udall,MarkUdall,M,D,Proud to be a strong advocate for #LGBT Coloradans &amp; fight for equal rights for all-- #Equality @HRC http://t--co/9k54iPOfe8,150,67,0.916864,Proud to be a strong advocate for #LGBT Coloradans &amp; fight for equal rights for all-- #Equality @HRC http://t--co/9k54iPOfe8. Malala Yousafzai's fight for girls' rights &amp; education is inspiring-- We are all grateful for her leadership &amp; courage-- #NobelPeacePrize.,,,0.638987,,,
32,Mark Udall,MarkUdall,M,D,Malala Yousafzai's fight for girls' rights &amp; education is inspiring-- We are all grateful for her leadership &amp; courage-- #NobelPeacePrize,15,14,,,,,,,,
33,Mark Udall,MarkUdall,M,D,No one working full time should struggle to make ends meet-- It's time to #RaiseTheWage &amp; go #With1010-- http://t--co/D6zmCrLbge,37,19,0.694578,No one working full time should struggle to make ends meet-- It's time to #RaiseTheWage &amp; go #With1010-- http://t--co/D6zmCrLbge. Congrats @coschoolofmines on winning @ENERGY's #geothermal competition-- Great demonstration of #COenergy innovation: http://t--co/SbmOc75K58.,0.532616,,,,,
34,Mark Udall,MarkUdall,M,D,Congrats @coschoolofmines on winning @ENERGY's #geothermal competition-- Great demonstration of #COenergy innovation: http://t--co/SbmOc75K58,13,11,,,,,,,,
35,Mark Udall,MarkUdall,M,D,"The $12--5M I championed to keep #SWChief in #CO = a major win, but I'll keep working w/ local leaders to keep this rail line strong--",4,4,0.587693,"The $12--5M I championed to keep #SWChief in #CO = a major win, but I'll keep working w/ local leaders to keep this rail line strong--.",,,,,,
36,Mark Udall,MarkUdall,M,D,Great speaking w/ members of #SWChief taskforce in #Pueblo today about important role @Amtrak plays for SE #CO-- http://t--co/XE0UOsFxsr,6,6,,,,,,,,
37,Mark Udall,MarkUdall,M,D,"It's always farther than it looks, it's always harder than it looks &amp; it's always taller than it looks-- @rockandice http://t--co/jW0ZEIc4dK",3,5,,"It's always farther than it looks, it's always harder than it looks &amp; it's always taller than it looks-- @rockandice http://t--co/jW0ZEIc4dK.",,,0.928569,,,
38,Mark Udall,MarkUdall,M,D,"As an avid mountaineer, it's an honor to share what I've learned in latest issue of @rockandice: http://t--co/21MM3odq52 #climbing",13,8,0.606211,"As an avid mountaineer, it's an honor to share what I've learned in latest issue of @rockandice: http://t--co/21MM3odq52 #climbing.",0.724236,,,,,
39,Mark Udall,MarkUdall,M,D,"#NSA overreach hurts #CObiz &amp; innovators-- @RonWyden led vital discussion on this today, &amp; I'm proud to work w/ him to #EndThisDragnet--",21,11,,,,,,,,
40,Mark Udall,MarkUdall,M,D,"As an educator, lawmaker &amp; champion of civil rights, Sen-- Regis Groff helped transform #CO-- I was honored to know him-- He will be missed--",3,4,0.542656,"As an educator, lawmaker &amp; champion of civil rights, Sen-- Regis Groff helped transform #CO-- I was honored to know him-- He will be missed--.",,,,,,
41,Mark Udall,MarkUdall,M,D,Congrats to committed couples in Pueblo &amp; all across #CO who will soon enjoy marriage #equality: http://t--co/CXrBWrQmzd #MarriageMomentum,9,8,0.885876,Congrats to committed couples in Pueblo &amp; all across #CO who will soon enjoy marriage #equality: http://t--co/CXrBWrQmzd #MarriageMomentum.,,,0.816764,,,
42,Mark Udall,MarkUdall,M,D,Supreme Court is right to let 10th Circuit Court decision -- &amp; others across nation -- for #MarriageEquality stand-- #MarriageMomentum,35,16,,Supreme Court is right to let 10th Circuit Court decision -- &amp; others across nation -- for #MarriageEquality stand-- #MarriageMomentum.,0.515576,,,,,
43,Mark Udall,MarkUdall,M,D,"Honored to help Pfc-- Tafoya, an #Avondale #veteran, receive the #PurpleHeart he earned in Vietnam: http://t--co/dNWf9UxRGX",11,4,0.654871,"Honored to help Pfc-- Tafoya, an #Avondale #veteran, receive the #PurpleHeart he earned in Vietnam: http://t--co/dNWf9UxRGX.",,,,,,
44,Mark Udall,MarkUdall,M,D,"During #BreastCancerAwareness month, let's stand by our mothers, sisters &amp; daughters fighting this disease &amp; remember those we've lost to it",6,8,,"During #BreastCancerAwareness month, let's stand by our mothers, sisters &amp; daughters fighting this disease &amp; remember those we've lost to it.",,0.59463,,,,
45,Mark Udall,MarkUdall,M,D,My @HeForShe commitment is to keep fighting to expand opportunities for women &amp; girls worldwide-- More - http://t--co/Iir9VLzk77,6,8,,,,,,,,
46,Mark Udall,MarkUdall,M,D,"From #BringsJobsHome Act to the wind #PTC, I'm fighting for #MadeInAmerica manufacturing &amp; #jobs-- #MfgDay14 http://t--co/O2y8JYO8qm",12,6,,,,,,,,
47,Mark Udall,MarkUdall,M,D,"Strong hiring &amp; falling jobless rate show we're making progress, but I'll keep fighting to support #CO growth: http://t--co/qSXGywZ9O0",4,3,0.584735,"Strong hiring &amp; falling jobless rate show we're making progress, but I'll keep fighting to support #CO growth: http://t--co/qSXGywZ9O0. Must-watch video from @TroutUnlimited showcases #CO's #BrownsCanyon &amp; why I'm leading fight to protect it: http://t--co/Axu99h88RQ.",,,,,,
48,Mark Udall,MarkUdall,M,D,Must-watch video from @TroutUnlimited showcases #CO's #BrownsCanyon &amp; why I'm leading fight to protect it: http://t--co/Axu99h88RQ,10,7,,,,,,,,
49,Mark Udall,MarkUdall,M,D,"This #DomesticViolence Awareness Month, let's stand w/ survivors &amp; recommit to ending violence &amp; abuse for all #DVAM http://t--co/pWZdQWo8cy",25,21,,,,,,,,
50,Mark Udall,MarkUdall,M,D,$7M investment in #CO's work to end #veteran homelessness = great news-- I'll keep fighting to support our vets: http://t--co/znkGGPRcjV,4,2,,,,,,,,
51,Mark Udall,MarkUdall,M,D,Proud of 160 soldiers from #CO's #FortCarson deploying to help build #Ebola treatment facilities in Liberia--,20,6,,,,,,,,
52,Mark Udall,MarkUdall,M,D,Gratified @DeptofDefense has heeded my call to protect service members from scams &amp; predatory lending schemes: http://t--co/GDZtsYotUt,8,4,,Gratified @DeptofDefense has heeded my call to protect service members from scams &amp; predatory lending schemes: http://t--co/GDZtsYotUt.,0.506763,,,,,
53,Mark Udall,MarkUdall,M,D,New #COSprings VA health clinic will help #CO #vets get the quality &amp; timely care they've earned-- http://t--co/pZUsUeLJeu,7,2,0.757289,New #COSprings VA health clinic will help #CO #vets get the quality &amp; timely care they've earned-- http://t--co/pZUsUeLJeu. Congrats to #GrandJunction's JG Mgmt Systems on #SecDef #FreedomAward-- Truly outstanding support for #CO's Nat'l Guard &amp; Reservists-- @ESGR.,,,,,,
54,Mark Udall,MarkUdall,M,D,Congrats to #GrandJunction's JG Mgmt Systems on #SecDef #FreedomAward-- Truly outstanding support for #CO's Nat'l Guard &amp; Reservists-- @ESGR,6,4,,,,,,,,
55,Mark Udall,MarkUdall,M,D,#CO's public lands support our special way of life-- Enjoy the fall colors &amp; our natl parks for FREE on Natl Public Lands Day this Saturday--,11,4,0.784418,#CO's public lands support our special way of life-- Enjoy the fall colors &amp; our natl parks for FREE on Natl Public Lands Day this Saturday--.,,,,,,
56,Mark Udall,MarkUdall,M,D,"A picture is worth 1,000 words, but proposed @ForestService rule conjures only one: Wrong-- http://t--co/38c5Gs05vW--#1stAmendment",20,8,,"A picture is worth 1,000 words, but proposed @ForestService rule conjures only one: Wrong-- http://t--co/38c5Gs05vW--#1stAmendment.",0.882284,,,,,
57,Mark Udall,MarkUdall,M,D,L'shana Tovah-- Best wishes &amp; happy #RoshHashanah to #CO tonight--,8,9,0.895504,L'shana Tovah-- Best wishes &amp; happy #RoshHashanah to #CO tonight--.,,,,,,
58,Mark Udall,MarkUdall,M,D,Thrilled @usedgov is investing in #Greeley &amp; #Evans schools to keep college in reach for more students: http://t--co/xSIcCdFwRb #fairshot,6,3,0.619957,Thrilled @usedgov is investing in #Greeley &amp; #Evans schools to keep college in reach for more students: http://t--co/xSIcCdFwRb #fairshot.,,,,,,
59,Mark Udall,MarkUdall,M,D,Helped #CO vets exposed to Agent Orange receive support they deserve-- Learn how I can help you w/ federal agencies: http://t--co/L7OApFXN53,6,1,,,,,,,,
60,Mark Udall,MarkUdall,M,D,"#GenderEquality is an issue for us all--men &amp; women, US &amp; worldwide-- I stand w/ @EmWatson &amp; @HeForShe-- http://t--co/GY6Dchsqpn #heforshe",29,10,,,,,,,,
61,Mark Udall,MarkUdall,M,D,#CIA Dir-- Brennan's contradictory statements only underscore his failure of leadership &amp; need for his resignation: http://t--co/UdihEvp7OX,17,12,0.69965,"#CIA Dir-- Brennan's contradictory statements only underscore his failure of leadership &amp; need for his resignation: http://t--co/UdihEvp7OX. Proud to stand w/ #CO, #LGBT community &amp; @NOH8Campaign to fight for #equality-- #NOH8onTheHill #NOH8 http://t--co/ea6tagv3GH. Exciting milestone for #CO aerospace as @MAVEN2Mars reaches Mars' orbit-- Thx @CUBoulder @ulalaunch @LockheedMartin for leading this mission--.",,,,,,
62,Mark Udall,MarkUdall,M,D,"Proud to stand w/ #CO, #LGBT community &amp; @NOH8Campaign to fight for #equality-- #NOH8onTheHill #NOH8 http://t--co/ea6tagv3GH",132,148,,,,,,,,
63,Mark Udall,MarkUdall,M,D,Exciting milestone for #CO aerospace as @MAVEN2Mars reaches Mars' orbit-- Thx @CUBoulder @ulalaunch @LockheedMartin for leading this mission--,12,6,,,,,,,,
64,Mark Udall,MarkUdall,M,D,Behind the scenes of #NOH8onTheHill w/ @NOH8Campaign-- Excited to continue our fight for #equality-- #NOH8 http://t--co/P8PDsbxnCq,36,68,0.644525,Behind the scenes of #NOH8onTheHill w/ @NOH8Campaign-- Excited to continue our fight for #equality-- #NOH8 http://t--co/P8PDsbxnCq. Let's raise a glass to @US_FDA heeding my call to revise costly spent-grain regs on #CO craft brewers: http://t--co/USDZqYUKEH #craftbeer.,,,,,,
65,Mark Udall,MarkUdall,M,D,Let's raise a glass to @US_FDA heeding my call to revise costly spent-grain regs on #CO craft brewers: http://t--co/USDZqYUKEH #craftbeer,6,4,,,,,,,,
66,Mark Udall,MarkUdall,M,D,"On @usairforce's 67th birthday, let's thank the brave women &amp; men who patrol our skies and keep our nation safe-- #AirForce #AFBday",7,4,0.852727,"On @usairforce's 67th birthday, let's thank the brave women &amp; men who patrol our skies and keep our nation safe-- #AirForce #AFBday.",,,,,,
67,Mark Udall,MarkUdall,M,D,New @USDA investment in #CO renewable #energy projects is a win for #COjobs &amp; #COenergy innovation: http://t--co/4lokxUXSsM,6,4,0.833145,"New @USDA investment in #CO renewable #energy projects is a win for #COjobs &amp; #COenergy innovation: http://t--co/4lokxUXSsM. Fantastic news: #Weld County sees highest % job growth in nation-- I'll keep fighting to strengthen #CO's economy: http://t--co/wCHqfJ5BjH. #PILT is essential to #CO's rural communities-- That's why I'm leading fight w/ @NACoTweets to fully fund program-- http://t--co/VFYoN5E9Au. Proud to stand w/ rural #CO &amp; urge Senate to reauthorize #LWCF, #PILT &amp; Secure Rural Schools programs: http://t--co/Xcw5g6bHw8. TUNE IN: @MarkUdall will urge Senate to reauthorize #LWCF &amp; #PILT -- programs that sustain rural communities: http://t--co/LIQJDL1lU4 --STAFF.",,,,,,
68,Mark Udall,MarkUdall,M,D,Fantastic news: #Weld County sees highest % job growth in nation-- I'll keep fighting to strengthen #CO's economy: http://t--co/wCHqfJ5BjH,7,7,,,,,,,,
69,Mark Udall,MarkUdall,M,D,#PILT is essential to #CO's rural communities-- That's why I'm leading fight w/ @NACoTweets to fully fund program-- http://t--co/VFYoN5E9Au,7,3,,,,,,,,
70,Mark Udall,MarkUdall,M,D,"Proud to stand w/ rural #CO &amp; urge Senate to reauthorize #LWCF, #PILT &amp; Secure Rural Schools programs: http://t--co/Xcw5g6bHw8",18,8,,,,,,,,
71,Mark Udall,MarkUdall,M,D,TUNE IN: @MarkUdall will urge Senate to reauthorize #LWCF &amp; #PILT -- programs that sustain rural communities: http://t--co/LIQJDL1lU4 --STAFF,13,7,,,,,,,,
72,Mark Udall,MarkUdall,M,D,"Honored to champion constitutional rights, including my fight to end #NSA overreach-- #ConstitutionDay #WeThePeople http://t--co/Ha5s30GgOj",11,7,,,,,,,,
73,Mark Udall,MarkUdall,M,D,"Working w/ Intermountain Forest Assoc-- to balance mgmt of #CO's natl forests, which support our special way of life-- http://t--co/we4XnjSX3x",4,2,,,,,,,,
74,Mark Udall,MarkUdall,M,D,Urging my colleagues to pass #BankOnStudents bill &amp; ensure a quality &amp; affordable education is w/in reach for all-- #FairShot #highered,12,6,,,,,,,,
75,Mark Udall,MarkUdall,M,D,Innovators are showing this @DENStartupWeek why #CO's winning global econ race &amp; leading way in 21st cent economy-- http://t--co/MNJv2MzcOP,5,3,,Innovators are showing this @DENStartupWeek why #CO's winning global econ race &amp; leading way in 21st cent economy-- http://t--co/MNJv2MzcOP. WATCH: @MarkUdall presses military leaders on need to confront &amp; defeat #ISIL: http://t--co/6YQAgnjMm2 --STAFF.,0.54839,,,,,
76,Mark Udall,MarkUdall,M,D,WATCH: @MarkUdall presses military leaders on need to confront &amp; defeat #ISIL: http://t--co/6YQAgnjMm2 --STAFF,4,2,,,,,,,,
77,Mark Udall,MarkUdall,M,D,#ClimateChange threatens #CO's special way of life &amp; our #craftbeer: http://t--co/LFYQWKaf2Y via @newbelgium's Jenn Vervier #ActOnClimate,37,4,0.58167,#ClimateChange threatens #CO's special way of life &amp; our #craftbeer: http://t--co/LFYQWKaf2Y via @newbelgium's Jenn Vervier #ActOnClimate.,,,,,,
78,Mark Udall,MarkUdall,M,D,"Al conmemorar #HispanicHeritageMonth, celebramos el legado y las contribuciones de los Latinos de Colorado: http://t--co/d2jWagbnqS",4,1,,,,,,,,
79,Mark Udall,MarkUdall,M,D,"As we mark #HispanicHeritageMonth, let's celebrate #CO's rich Hispanic roots &amp; many contributions of Colorado Latinos:http://t--co/bAkBTrIysm",6,3,0.692964,"As we mark #HispanicHeritageMonth, let's celebrate #CO's rich Hispanic roots &amp; many contributions of Colorado Latinos:http://t--co/bAkBTrIysm.",,,,,,
80,Mark Udall,MarkUdall,M,D,"Proud to join @oskarblues &amp; @cyclists4 to support #Lyons' recovery from #COflood-- Together, we'll rebuild-- #VivaLyons http://t--co/dJGM0EI7l3",10,7,0.919035,"Proud to join @oskarblues &amp; @cyclists4 to support #Lyons' recovery from #COflood-- Together, we'll rebuild-- #VivaLyons http://t--co/dJGM0EI7l3. Grateful for @Habitat_org volunteers helping #Longmont rebuild-- We all have a role to play in #COflood-recov efforts-- http://t--co/oQsCpjPhTV.",,,,,,
81,Mark Udall,MarkUdall,M,D,Grateful for @Habitat_org volunteers helping #Longmont rebuild-- We all have a role to play in #COflood-recov efforts-- http://t--co/oQsCpjPhTV,13,6,,,,,,,,
82,Mark Udall,MarkUdall,M,D,"After losing home in #COflood, #Boulder family is rebuilding thanks to @SBAgov &amp; @FEMA aid I championed-- http://t--co/hfXWbKxccM",15,8,0.846125,"After losing home in #COflood, #Boulder family is rebuilding thanks to @SBAgov &amp; @FEMA aid I championed-- http://t--co/hfXWbKxccM. #CO town of #Evans has made tremendous strides since #COflood-- I'll keep championing our recovery-- http://t--co/G7xuL1QnFq. Inspired by resiliency of Coloradans in #Jamestown &amp; across #CO-- We've come a long way since #COflood 1 yr ago-- http://t--co/FbfvqKWddf. Helped #Pueblo veteran secure &gt;$24K in Social Sec-- benefits he earned-- Learn how I can help you w/ federal agencies: http://t--co/L7OApFXN53.",,,,,,
83,Mark Udall,MarkUdall,M,D,#CO town of #Evans has made tremendous strides since #COflood-- I'll keep championing our recovery-- http://t--co/G7xuL1QnFq,12,4,,,,,,,,
84,Mark Udall,MarkUdall,M,D,Inspired by resiliency of Coloradans in #Jamestown &amp; across #CO-- We've come a long way since #COflood 1 yr ago-- http://t--co/FbfvqKWddf,8,4,,,,,,,,
85,Mark Udall,MarkUdall,M,D,Helped #Pueblo veteran secure &gt;$24K in Social Sec-- benefits he earned-- Learn how I can help you w/ federal agencies: http://t--co/L7OApFXN53,6,3,,,,,,,,
86,Mark Udall,MarkUdall,M,D,For 20 yrs @americorps has fostered service &amp; strengthened communities-- Thank you to all current &amp; former volunteers-- #AmeriCorps20,15,9,0.743815,For 20 yrs @americorps has fostered service &amp; strengthened communities-- Thank you to all current &amp; former volunteers-- #AmeriCorps20.,,,0.638987,,,
87,Mark Udall,MarkUdall,M,D,#LWCF played key role helping towns like Lyons rebuild after #COflood-- Proud to lead fight to support this vital prgm http://t--co/4H4nk7ycxx,13,9,0.838741,#LWCF played key role helping towns like Lyons rebuild after #COflood-- Proud to lead fight to support this vital prgm http://t--co/4H4nk7ycxx.,,,,,,
88,Mark Udall,MarkUdall,M,D,"As we mark 1-yr anniv of #COflood, I'll continue to lead effort to keep #CO's recovery strong &amp; our communities safe: http://t--co/qs0LUBsmv1",10,6,,"As we mark 1-yr anniv of #COflood, I'll continue to lead effort to keep #CO's recovery strong &amp; our communities safe: http://t--co/qs0LUBsmv1. 1 yr since #COflood, let's reflect on tremendous progress &amp; remember we're stronger united: http://t--co/p83tnusT3Q http://t--co/6EclR2ORLp. Disappointed amndmt 2 overturn #CitizensUnited was blocked-- I'll keep fighting so Coloradans' voices aren't drowned out by special interests.",0.527021,,,,,
89,Mark Udall,MarkUdall,M,D,"1 yr since #COflood, let's reflect on tremendous progress &amp; remember we're stronger united: http://t--co/p83tnusT3Q http://t--co/6EclR2ORLp",7,4,,,,,,,,
90,Mark Udall,MarkUdall,M,D,Disappointed amndmt 2 overturn #CitizensUnited was blocked-- I'll keep fighting so Coloradans' voices aren't drowned out by special interests,20,12,,,,,,,,
91,Mark Udall,MarkUdall,M,D,"On anniversary of 9/11 attacks, let's honor the victims, first responders, and our men &amp; women in uniform-- http://t--co/rXcyBTMgKy",10,7,0.906333,"On anniversary of 9/11 attacks, let's honor the victims, first responders, and our men &amp; women in uniform-- http://t--co/rXcyBTMgKy. Honored to receive Rocky Mtn Farmers Union award for my work championing #CO's farmers &amp; ranchers-- http://t--co/0MR3BPt1r4. Good meeting w/ @NTSB Chair Nominee Chris Hart on how we can help keep #CO families safe-- http://t--co/lo48oqctC8. Proud to champion #CO's #COflood recovery work &amp; projects to protect Coloradans &amp; prevent future disasters-- http://t--co/oHAUGGrSXm. Thx @RideRTD GM Phil Washington for showing how #CO=leading way in #transportation innovation at @USDOT/@UStreasury's infrastructure summit--.",,,,,,
92,Mark Udall,MarkUdall,M,D,Honored to receive Rocky Mtn Farmers Union award for my work championing #CO's farmers &amp; ranchers-- http://t--co/0MR3BPt1r4,7,4,,,,,,,,
